day,device,browser,channel,visitors,signups
2025-04-08,desktop,chrome,email,16378,1605
2025-04-08,desktop,chrome,organic,23561,2756
2025-04-08,desktop,chrome,paid,7143,562
2025-04-08,desktop,chrome,social,12132,931
2025-04-08,desktop,edge,email,2025,133
2025-04-08,desktop,edge,organic,2847,222
2025-04-08,desktop,edge,paid,908,72
2025-04-08,desktop,edge,social,1517,81
2025-04-08,desktop,firefox,email,5712,439
2025-04-08,desktop,firefox,organic,8230,793
2025-04-08,desktop,firefox,paid,2420,162
2025-04-08,desktop,firefox,social,4234,255
2025-04-08,desktop,opera,email,1855,118
2025-04-08,desktop,opera,organic,2730,186
2025-04-08,desktop,opera,paid,757,42
2025-04-08,desktop,opera,social,1348,75
2025-04-08,desktop,safari,email,5628,493
2025-04-08,desktop,safari,organic,8299,814
2025-04-08,desktop,safari,paid,2374,193
2025-04-08,desktop,safari,social,4119,286
2025-04-08,mobile,chrome,email,25196,1768
2025-04-08,mobile,chrome,organic,36205,2936
2025-04-08,mobile,chrome,paid,10862,639
2025-04-08,mobile,chrome,social,18505,1022
2025-04-08,mobile,edge,email,2999,168
2025-04-08,mobile,edge,organic,4250,255
2025-04-08,mobile,edge,paid,1427,59
2025-04-08,mobile,edge,social,2276,105
2025-04-08,mobile,firefox,email,8649,489
2025-04-08,mobile,firefox,organic,12756,897
2025-04-08,mobile,firefox,paid,3748,168
2025-04-08,mobile,firefox,social,6439,312
2025-04-08,mobile,opera,email,2868,144
2025-04-08,mobile,opera,organic,4159,221
2025-04-08,mobile,opera,paid,1256,38
2025-04-08,mobile,opera,social,2158,79
2025-04-08,mobile,safari,email,8410,548
2025-04-08,mobile,safari,organic,12431,941
2025-04-08,mobile,safari,paid,3798,207
2025-04-08,mobile,safari,social,6230,298
2025-04-08,tablet,chrome,email,1137,99
2025-04-08,tablet,chrome,organic,1612,152
2025-04-08,tablet,chrome,paid,441,25
2025-04-08,tablet,chrome,social,851,46
2025-04-08,tablet,edge,email,149,8
2025-04-08,tablet,edge,organic,188,20
2025-04-08,tablet,edge,paid,40,2
2025-04-08,tablet,edge,social,111,6
2025-04-08,tablet,firefox,email,386,25
2025-04-08,tablet,firefox,organic,539,46
2025-04-08,tablet,firefox,paid,148,11
2025-04-08,tablet,firefox,social,247,15
2025-04-08,tablet,opera,email,137,6
2025-04-08,tablet,opera,organic,175,14
2025-04-08,tablet,opera,paid,59,1
2025-04-08,tablet,opera,social,86,2
2025-04-08,tablet,safari,email,383,27
2025-04-08,tablet,safari,organic,536,51
2025-04-08,tablet,safari,paid,158,18
2025-04-08,tablet,safari,social,274,15
2025-04-09,desktop,chrome,email,10852,1189
2025-04-09,desktop,chrome,organic,12353,1561
2025-04-09,desktop,chrome,paid,14767,1254
2025-04-09,desktop,chrome,social,9119,771
2025-04-09,desktop,edge,email,3938,309
2025-04-09,desktop,edge,organic,4406,440
2025-04-09,desktop,edge,paid,5365,339
2025-04-09,desktop,edge,social,3310,214
2025-04-09,desktop,firefox,email,7557,692
2025-04-09,desktop,firefox,organic,8597,917
2025-04-09,desktop,firefox,paid,10352,688
2025-04-09,desktop,firefox,social,6332,425
2025-04-09,desktop,opera,email,2653,217
2025-04-09,desktop,opera,organic,3015,238
2025-04-09,desktop,opera,paid,3504,216
2025-04-09,desktop,opera,social,2198,113
2025-04-09,desktop,safari,email,5371,544
2025-04-09,desktop,safari,organic,5695,633
2025-04-09,desktop,safari,paid,7023,520
2025-04-09,desktop,safari,social,4286,309
2025-04-09,mobile,chrome,email,9393,714
2025-04-09,mobile,chrome,organic,10335,938
2025-04-09,mobile,chrome,paid,12618,765
2025-04-09,mobile,chrome,social,7724,475
2025-04-09,mobile,edge,email,3467,205
2025-04-09,mobile,edge,organic,3852,287
2025-04-09,mobile,edge,paid,4578,232
2025-04-09,mobile,edge,social,2821,149
2025-04-09,mobile,firefox,email,6481,393
2025-04-09,mobile,firefox,organic,7320,532
2025-04-09,mobile,firefox,paid,8585,409
2025-04-09,mobile,firefox,social,5318,268
2025-04-09,mobile,opera,email,2170,118
2025-04-09,mobile,opera,organic,2484,163
2025-04-09,mobile,opera,paid,3022,134
2025-04-09,mobile,opera,social,1713,81
2025-04-09,mobile,safari,email,4398,335
2025-04-09,mobile,safari,organic,4895,401
2025-04-09,mobile,safari,paid,6030,344
2025-04-09,mobile,safari,social,3633,193
2025-04-09,tablet,chrome,email,2299,232
2025-04-09,tablet,chrome,organic,2577,275
2025-04-09,tablet,chrome,paid,3140,225
2025-04-09,tablet,chrome,social,1877,151
2025-04-09,tablet,edge,email,842,59
2025-04-09,tablet,edge,organic,906,81
2025-04-09,tablet,edge,paid,1194,61
2025-04-09,tablet,edge,social,712,42
2025-04-09,tablet,firefox,email,1648,123
2025-04-09,tablet,firefox,organic,1837,186
2025-04-09,tablet,firefox,paid,2171,133
2025-04-09,tablet,firefox,social,1311,81
2025-04-09,tablet,opera,email,546,45
2025-04-09,tablet,opera,organic,645,41
2025-04-09,tablet,opera,paid,760,38
2025-04-09,tablet,opera,social,476,26
2025-04-09,tablet,safari,email,1096,96
2025-04-09,tablet,safari,organic,1183,110
2025-04-09,tablet,safari,paid,1441,90
2025-04-09,tablet,safari,social,853,58
2025-04-10,desktop,chrome,email,7840,705
2025-04-10,desktop,chrome,organic,23090,2354
2025-04-10,desktop,chrome,paid,6183,404
2025-04-10,desktop,chrome,social,9538,676
2025-04-10,desktop,edge,email,1799,128
2025-04-10,desktop,edge,organic,5553,452
2025-04-10,desktop,edge,paid,1434,70
